"Município de residência";"Ign/Branco";"Total"
"290110 AMELIA RODRIGUES";1;1
"290195 APUAREMA";1;1
"290330 BARRO PRETO";1;1
"290420 BOTUPORA";1;1
"290430 BREJOES";1;1
"290950 CRAVOLANDIA";1;1
"291010 DOM BASILIO";1;1
"291390 IPIAU";1;1
"291465 ITABELA";2;2
"291470 ITABERABA";2;2
"291730 ITUBERA";1;1
"291820 JIQUIRICA";1;1
"291840 JUAZEIRO";3;3
"291850 JUSSARA";1;1
"291855 JUSSARI";1;1
"291950 LIVRAMENTO DE NOSSA SENHORA";2;2
"291980 MACAUBAS";1;1
"292045 MANSIDAO";1;1
"292190 MUCUGE";1;1
"292575 PRESIDENTE TANCREDO NEVES";2;2
"292640 RIACHO DE SANTANA";1;1
"292810 SANTA MARIA DA VITORIA";1;1
"293020 SENTO SE";1;1
"293030 SERRA DOURADA";1;1
"293077 SOBRADINHO";3;3
"293325 VEREDA";1;1
"Total";34;34
