"Município de residência";"Ign/Branco";"Total"
"290020 ABARE";2;2
"290310 BARRA DO ROCHA";1;1
"290380 BOA VISTA DO TUPIM";1;1
"290430 BREJOES";1;1
"290720 CASA NOVA";1;1
"290960 CRISOPOLIS";1;1
"290990 CURACA";2;2
"291040 ENCRUZILHADA";1;1
"291072 EUNAPOLIS";1;1
"291140 GLORIA";4;4
"291220 IBICOARA";2;2
"291270 IBIRAPITANGA";1;1
"291390 IPIAU";1;1
"291470 ITABERABA";2;2
"291510 ITAGI";1;1
"291530 ITAGIMIRIM";1;1
"291560 ITAMARAJU";1;1
"291760 JAGUAQUARA";2;2
"291840 JUAZEIRO";1;1
"291955 LUIS EDUARDO MAGALHAES";2;2
"292230 MURITIBA";1;1
"292710 RODELAS";3;3
"293160 TEOLANDIA";4;4
"293250 UNA";1;1
"Total";38;38
